1000 100000
2 1 91
3 1 84
4 2 64
5 2 37
6 3 95
7 3 21
8 4 74
9 4 87
10 2 14
11 8 38
12 5 42
13 8 8
14 6 25
15 10 69
16 13 18
17 6 9
18 12 64
19 5 59
20 18 54
21 12 68
22 10 68
23 11 28
24 2 67
25 2 75
26 15 86
27 2 10
28 25 29
29 21 63
30 2 42
31 16 86
32 18 50
33 1 70
34 19 13
35 30 44
36 29 25
37 21 97
38 3 44
39 26 2
40 27 48
41 27 3
42 36 50
43 15 24
44 6 42
45 5 12
46 44 30
47 21 11
48 32 73
49 9 31
50 12 87
51 11 1
52 36 34
53 41 60
54 25 34
55 26 82
56 10 80
57 20 95
58 51 75
59 48 59
60 37 17
61 32 27
62 42 5
63 46 86
64 39 12
65 6 40
66 58 77
67 8 27
68 4 88
69 41 70
70 26 27
71 34 14
72 70 84
73 23 23
74 46 73
75 38 95
76 14 5
77 74 33
78 63 26
79 47 52
80 41 87
81 16 29
82 31 80
83 30 51
84 25 92
85 84 57
86 28 86
87 39 69
88 62 39
89 59 11
90 66 27
91 84 40
92 3 90
93 64 100
94 93 25
95 89 50
96 16 1
97 64 10
98 83 36
99 48 31
100 89 69
101 62 71
102 71 12
103 84 19
104 75 14
105 32 63
106 8 30
107 32 38
108 37 41
109 65 18
110 16 8
111 65 82
112 66 87
113 61 15
114 110 88
115 2 61
116 107 72
117 104 70
118 46 49
119 23 36
120 22 69
121 39 99
122 119 13
123 106 65
124 67 22
125 57 21
126 124 88
127 41 54
128 76 33
129 48 53
130 22 56
131 117 31
132 114 37
133 9 36
134 94 80
135 46 93
136 33 19
137 7 56
138 68 85
139 71 29
140 104 17
141 133 31
142 41 20
143 120 37
144 51 18
145 63 18
146 6 1
147 6 99
148 12 31
149 17 91
150 56 29
151 126 88
152 79 41
153 81 84
154 100 90
155 84 34
156 87 100
157 132 14
158 42 97
159 129 98
160 8 10
161 20 19
162 140 91
163 153 56
164 80 6
165 77 49
166 112 29
167 156 26
168 101 98
169 131 85
170 37 51
171 142 57
172 145 74
173 102 20
174 62 90
175 74 39
176 100 6
177 71 49
178 28 65
179 33 54
180 67 12
181 52 33
182 79 52
183 89 39
184 10 79
185 111 73
186 59 28
187 47 64
188 67 61
189 155 84
190 96 41
191 125 27
192 34 54
193 110 14
194 13 40
195 67 48
196 169 46
197 162 14
198 100 45
199 37 28
200 149 31
201 37 82
202 111 58
203 155 28
204 153 77
205 152 18
206 172 98
207 187 94
208 60 29
209 35 72
210 167 72
211 61 60
212 94 39
213 24 18
214 209 93
215 138 91
216 43 23
217 115 58
218 164 17
219 150 86
220 114 27
221 21 54
222 149 55
223 195 72
224 142 64
225 158 94
226 72 24
227 31 73
228 197 5
229 100 16
230 17 24
231 226 26
232 164 51
233 107 31
234 29 88
235 208 68
236 98 39
237 160 3
238 6 5
239 34 57
240 104 14
241 165 31
242 98 64
243 132 71
244 184 20
245 133 60
246 211 40
247 213 95
248 148 30
249 60 80
250 14 96
251 93 80
252 35 68
253 51 96
254 118 90
255 125 45
256 197 28
257 2 25
258 5 73
259 209 39
260 175 17
261 224 22
262 176 16
263 173 28
264 11 5
265 199 65
266 202 5
267 115 16
268 190 23
269 185 74
270 84 22
271 124 64
272 163 73
273 28 23
274 92 35
275 165 23
276 21 16
277 267 18
278 27 2
279 82 51
280 81 39
281 243 29
282 160 54
283 190 46
284 169 39
285 114 66
286 167 21
287 25 42
288 34 46
289 220 97
290 55 41
291 238 40
292 108 32
293 205 17
294 94 55
295 260 26
296 155 57
297 56 66
298 198 87
299 290 97
300 22 41
301 103 12
302 89 46
303 7 72
304 144 31
305 233 27
306 159 60
307 57 34
308 179 33
309 242 69
310 184 70
311 207 44
312 246 6
313 95 83
314 235 93
315 228 33
316 7 45
317 199 36
318 221 97
319 57 44
320 254 39
321 299 13
322 136 64
323 21 54
324 181 17
325 239 71
326 219 88
327 136 29
328 185 23
329 174 36
330 253 100
331 95 50
332 145 22
333 307 47
334 309 51
335 31 51
336 270 35
337 26 35
338 161 100
339 138 42
340 199 65
341 223 72
342 212 52
343 316 73
344 123 71
345 63 98
346 342 39
347 174 40
348 285 4
349 337 31
350 60 24
351 302 82
352 107 74
353 207 93
354 60 56
355 195 44
356 48 56
357 70 34
358 61 15
359 156 32
360 126 35
361 234 23
362 90 23
363 203 31
364 263 13
365 299 93
366 261 3
367 81 92
368 63 41
369 257 63
370 344 29
371 194 66
372 328 20
373 333 70
374 211 4
375 184 58
376 99 91
377 198 48
378 40 63
379 106 15
380 324 58
381 45 22
382 259 53
383 352 100
384 271 39
385 41 42
386 22 55
387 60 86
388 156 49
389 19 9
390 54 52
391 114 7
392 214 74
393 339 25
394 200 20
395 218 48
396 377 42
397 237 17
398 136 45
399 346 96
400 261 97
401 93 72
402 72 9
403 84 42
404 42 56
405 252 26
406 191 67
407 59 63
408 33 73
409 25 59
410 246 54
411 176 22
412 271 58
413 117 97
414 413 56
415 94 62
416 313 34
417 279 46
418 77 44
419 390 8
420 30 13
421 21 80
422 256 64
423 136 14
424 114 3
425 65 96
426 409 72
427 295 25
428 206 57
429 201 64
430 119 5
431 72 20
432 14 95
433 255 41
434 358 15
435 334 23
436 112 47
437 389 81
438 414 100
439 161 9
440 150 5
441 178 38
442 138 50
443 187 46
444 54 77
445 291 65
446 287 53
447 171 17
448 386 80
449 251 12
450 418 91
451 287 23
452 252 47
453 368 84
454 300 2
455 445 98
456 348 6
457 212 99
458 388 41
459 11 3
460 171 18
461 101 32
462 8 64
463 184 69
464 422 80
465 197 98
466 94 7
467 144 44
468 12 88
469 263 29
470 168 75
471 401 95
472 309 27
473 376 77
474 160 73
475 164 50
476 164 1
477 38 44
478 415 13
479 259 92
480 300 44
481 149 89
482 330 80
483 186 22
484 148 3
485 365 4
486 341 30
487 361 14
488 289 80
489 69 51
490 421 77
491 424 37
492 305 74
493 195 67
494 256 80
495 418 98
496 302 79
497 289 56
498 223 62
499 498 25
500 290 84
501 46 81
502 13 52
503 464 5
504 215 64
505 379 16
506 418 94
507 367 50
508 67 36
509 383 12
510 167 55
511 202 67
512 125 14
513 419 50
514 287 80
515 428 53
516 96 14
517 102 76
518 51 65
519 451 42
520 281 39
521 450 18
522 187 8
523 78 35
524 116 52
525 194 72
526 364 99
527 490 11
528 303 69
529 370 9
530 123 71
531 28 70
532 36 29
533 430 61
534 261 36
535 178 39
536 57 55
537 515 16
538 14 6
539 200 10
540 94 70
541 528 89
542 13 51
543 503 7
544 198 23
545 327 16
546 379 42
547 19 8
548 162 62
549 337 52
550 378 5
551 50 71
552 333 49
553 325 18
554 204 16
555 57 22
556 355 32
557 142 88
558 16 53
559 183 97
560 61 44
561 201 71
562 328 78
563 550 64
564 47 65
565 272 49
566 13 86
567 62 82
568 416 56
569 153 16
570 559 75
571 329 15
572 122 73
573 563 13
574 261 53
575 458 90
576 502 57
577 288 90
578 396 34
579 135 32
580 567 49
581 445 1
582 22 100
583 12 11
584 159 26
585 174 82
586 293 63
587 216 68
588 414 79
589 331 84
590 352 48
591 366 95
592 540 14
593 532 37
594 304 75
595 341 9
596 333 83
597 338 70
598 249 10
599 17 100
600 177 39
601 4 40
602 90 95
603 490 27
604 291 99
605 459 42
606 587 66
607 21 14
608 356 54
609 430 60
610 241 40
611 353 88
612 249 58
613 151 5
614 70 50
615 157 88
616 230 64
617 611 94
618 77 64
619 136 99
620 32 36
621 566 5
622 248 82
623 243 57
624 220 74
625 117 20
626 253 7
627 332 59
628 41 91
629 618 35
630 445 96
631 343 47
632 295 29
633 372 65
634 616 69
635 375 97
636 364 18
637 528 47
638 578 9
639 384 26
640 567 97
641 369 95
642 100 61
643 590 84
644 391 22
645 169 2
646 473 1
647 508 46
648 198 49
649 206 55
650 32 83
651 309 91
652 288 99
653 46 50
654 411 66
655 588 91
656 282 68
657 475 14
658 279 64
659 637 18
660 160 82
661 320 36
662 122 89
663 378 87
664 248 65
665 370 81
666 132 86
667 460 22
668 452 21
669 151 84
670 496 18
671 609 87
672 444 23
673 106 18
674 432 84
675 542 84
676 63 92
677 449 44
678 452 23
679 238 7
680 134 76
681 358 12
682 584 33
683 342 62
684 110 16
685 271 100
686 408 96
687 298 49
688 304 89
689 503 65
690 133 92
691 78 36
692 685 31
693 486 17
694 475 76
695 116 6
696 647 3
697 588 62
698 148 84
699 386 51
700 283 9
701 539 62
702 31 13
703 152 11
704 482 50
705 24 97
706 212 73
707 190 97
708 349 68
709 6 65
710 610 95
711 695 17
712 3 61
713 404 33
714 420 44
715 32 58
716 576 15
717 174 17
718 611 17
719 660 72
720 32 48
721 7 68
722 193 83
723 152 19
724 247 30
725 90 7
726 408 33
727 56 70
728 412 51
729 52 36
730 647 21
731 560 17
732 411 40
733 172 99
734 516 31
735 560 96
736 71 80
737 507 52
738 55 49
739 536 86
740 115 34
741 649 83
742 187 17
743 341 99
744 94 68
745 494 66
746 496 30
747 125 66
748 142 9
749 13 51
750 337 56
751 255 47
752 98 73
753 653 36
754 274 11
755 643 50
756 91 87
757 159 13
758 429 84
759 549 98
760 545 98
761 265 73
762 293 32
763 40 35
764 698 80
765 386 37
766 295 27
767 709 53
768 504 68
769 660 23
770 721 78
771 392 27
772 489 54
773 120 1
774 429 73
775 401 97
776 313 46
777 286 48
778 459 23
779 193 26
780 48 29
781 234 33
782 196 25
783 148 78
784 770 40
785 408 31
786 66 38
787 630 33
788 239 27
789 121 63
790 163 70
791 105 23
792 9 14
793 108 67
794 13 42
795 542 70
796 387 56
797 390 32
798 472 1
799 346 15
800 95 47
801 642 95
802 688 46
803 388 17
804 496 49
805 413 35
806 540 28
807 188 3
808 440 26
809 651 58
810 539 1
811 640 63
812 431 52
813 753 76
814 716 52
815 710 22
816 676 9
817 89 99
818 286 39
819 258 89
820 555 93
821 545 34
822 382 13
823 285 63
824 452 62
825 427 93
826 690 89
827 441 36
828 217 1
829 491 22
830 353 9
831 610 92
832 398 4
833 741 7
834 784 89
835 98 30
836 325 18
837 387 58
838 504 97
839 304 26
840 497 24
841 685 96
842 684 30
843 167 83
844 322 8
845 336 10
846 347 49
847 226 82
848 483 93
849 238 35
850 523 74
851 171 85
852 441 9
853 242 52
854 419 91
855 99 84
856 479 43
857 496 7
858 392 27
859 430 67
860 754 5
861 381 97
862 395 20
863 761 82
864 548 38
865 381 12
866 308 53
867 624 96
868 126 9
869 795 17
870 768 80
871 143 25
872 494 69
873 229 46
874 719 89
875 205 12
876 778 43
877 729 85
878 618 45
879 322 14
880 477 19
881 649 84
882 521 20
883 819 41
884 675 83
885 728 95
886 654 60
887 665 5
888 620 15
889 555 85
890 255 63
891 311 10
892 295 71
893 224 64
894 479 21
895 497 64
896 51 40
897 778 80
898 165 44
899 667 94
900 757 90
901 372 16
902 109 94
903 716 76
904 176 12
905 322 9
906 873 74
